Date,U.S. Ending Stocks of Crude Oil in SPR (Thousand Barrels)
1992-12-01,574724
1993-01-01,575311
1993-02-01,575807
1993-03-01,577611
1993-04-01,581702
1993-05-01,582119
1993-06-01,582753
1993-07-01,583333
1993-08-01,584087
1993-09-01,585658
1993-10-01,586248
1993-11-01,586794
1993-12-01,587080
1994-01-01,587192
1994-02-01,587193
1994-03-01,590256
1994-04-01,591173
1994-05-01,591178
1994-06-01,591670
1994-07-01,591673
1994-08-01,591675
1994-09-01,591675
1994-10-01,591675
1994-11-01,591673
1994-12-01,591670
1995-01-01,591671
1995-02-01,591673
1995-03-01,591672
1995-04-01,591671
1995-05-01,591669
1995-06-01,591672
1995-07-01,591670
1995-08-01,591673
1995-09-01,591668
1995-10-01,591663
1995-11-01,591648
1995-12-01,591640
1996-01-01,591630
1996-02-01,591617
1996-03-01,589125
1996-04-01,586485
1996-05-01,585803
1996-06-01,584454
1996-07-01,582904
1996-08-01,577573
1996-09-01,573659
1996-10-01,573617
1996-11-01,569814
1996-12-01,565816
1997-01-01,563482
1997-02-01,563474
1997-03-01,563468
1997-04-01,563463
1997-05-01,563458
1997-06-01,563454
1997-07-01,563451
1997-08-01,563449
1997-09-01,563444
1997-10-01,563439
1997-11-01,563430
1997-12-01,563429
1998-01-01,563430
1998-02-01,563426
1998-03-01,563426
1998-04-01,563426
1998-05-01,563428
1998-06-01,563429
1998-07-01,563426
1998-08-01,563426
1998-09-01,563426
1998-10-01,564015
1998-11-01,568524
1998-12-01,571405
1999-01-01,571951
1999-02-01,571950
1999-03-01,571950
1999-04-01,572451
1999-05-01,573595
1999-06-01,574798
1999-07-01,575701
1999-08-01,574875
1999-09-01,575472
1999-10-01,572270
1999-11-01,569115
1999-12-01,567241
2000-01-01,568498
2000-02-01,569370
2000-03-01,569413
2000-04-01,569413
2000-05-01,569413
2000-06-01,568893
2000-07-01,570351
2000-08-01,571365
2000-09-01,570346
2000-10-01,564497
2000-11-01,547506
2000-12-01,540678
2001-01-01,541675
2001-02-01,541677
2001-03-01,542290
2001-04-01,542350
2001-05-01,543270
2001-06-01,543270
2001-07-01,543734
2001-08-01,543734
2001-09-01,544760
2001-10-01,545209
2001-11-01,547325
2001-12-01,550241
2002-01-01,554597
2002-02-01,559951
2002-03-01,561486
2002-04-01,566742
2002-05-01,571257
2002-06-01,576451
2002-07-01,578514
2002-08-01,582261
2002-09-01,587226
2002-10-01,589622
2002-11-01,595899
2002-12-01,599091
2003-01-01,599247
2003-02-01,599247
2003-03-01,599247
2003-04-01,599585
2003-05-01,603116
2003-06-01,608541
2003-07-01,612407
2003-08-01,618300
2003-09-01,624363
2003-10-01,630871
2003-11-01,633599
2003-12-01,638388
2004-01-01,641156
2004-02-01,646863
2004-03-01,652139
2004-04-01,658212
2004-05-01,661339
2004-06-01,662378
2004-07-01,665666
2004-08-01,669001
2004-09-01,670270
2004-10-01,670322
2004-11-01,672764
2004-12-01,675600
2005-01-01,679670
2005-02-01,682013
2005-03-01,688150
2005-04-01,691880
2005-05-01,693938
2005-06-01,696398
2005-07-01,698811
2005-08-01,700726
2005-09-01,693659
2005-10-01,685238
2005-11-01,685630
2005-12-01,684544
2006-01-01,683458
2006-02-01,684769
2006-03-01,686054
2006-04-01,687887
2006-05-01,688600
2006-06-01,687847
2006-07-01,687845
2006-08-01,687840
2006-09-01,687837
2006-10-01,688605
2006-11-01,688605
2006-12-01,688605
2007-01-01,688605
2007-02-01,688604
2007-03-01,688602
2007-04-01,689392
2007-05-01,690270
2007-06-01,690270
2007-07-01,690270
2007-08-01,690437
2007-09-01,692803
2007-10-01,694129
2007-11-01,695503
2007-12-01,696941
2008-01-01,698349
2008-02-01,698822
2008-03-01,700372
2008-04-01,701468
2008-05-01,704253
2008-06-01,705955
2008-07-01,707215
2008-08-01,707212
2008-09-01,702435
2008-10-01,701831
2008-11-01,701828
2008-12-01,701823
2009-01-01,703786
2009-02-01,705541
2009-03-01,712800
2009-04-01,718786
2009-05-01,721698
2009-06-01,724098
2009-07-01,724094
2009-08-01,724092
2009-09-01,725086
2009-10-01,725081
2009-11-01,726129
2009-12-01,726616
2010-01-01,726612
2010-02-01,726608
2010-03-01,726604
2010-04-01,726599
2010-05-01,726594
2010-06-01,726591
2010-07-01,726586
2010-08-01,726581
2010-09-01,726513
2010-10-01,726550
2010-11-01,726547
2010-12-01,726545
2011-01-01,726543
2011-02-01,726542
2011-03-01,726542
2011-04-01,726542
2011-05-01,726542
2011-06-01,726531
2011-07-01,718215
2011-08-01,696456
2011-09-01,695951
2011-10-01,695951
2011-11-01,695951
2011-12-01,695951
2012-01-01,695951
2012-02-01,695951
2012-03-01,695951
2012-04-01,695951
2012-05-01,695951
2012-06-01,695951
2012-07-01,695950
2012-08-01,695950
2012-09-01,694952
2012-10-01,694952
2012-11-01,694952
2012-12-01,695268
2013-01-01,695805
2013-02-01,695969
2013-03-01,695969
2013-04-01,695969
2013-05-01,695969
2013-06-01,695969
2013-07-01,695969
2013-08-01,695969
2013-09-01,695969
2013-10-01,695969
2013-11-01,695969
2013-12-01,695969
2014-01-01,695969
2014-02-01,695969
2014-03-01,695929
2014-04-01,693315
2014-05-01,690972
2014-06-01,690972
2014-07-01,690972
2014-08-01,690972
2014-09-01,690969
2014-10-01,690966
2014-11-01,690963
2014-12-01,690959
2015-01-01,690956
2015-02-01,690953
2015-03-01,690950
2015-04-01,690947
2015-05-01,692345
2015-06-01,693891
2015-07-01,695134
2015-08-01,695130
2015-09-01,695128
2015-10-01,695126
2015-11-01,695123
2015-12-01,695119
2016-01-01,695116
2016-02-01,695114
2016-03-01,695112
2016-04-01,695107
2016-05-01,695104
2016-06-01,695100
2016-07-01,695096
2016-08-01,695093
2016-09-01,695090
2016-10-01,695087
2016-11-01,695084
2016-12-01,695082
2017-01-01,695078
2017-02-01,694825
2017-03-01,691510
2017-04-01,688787
2017-05-01,684478
2017-06-01,679174
2017-07-01,678883
2017-08-01,678799
2017-09-01,673640
2017-10-01,668951
2017-11-01,661278
2017-12-01,662831
2018-01-01,664234
2018-02-01,665458
2018-03-01,665456
2018-04-01,663966
2018-05-01,660167
2018-06-01,660015
2018-07-01,660013
2018-08-01,660011
2018-09-01,660009
2018-10-01,654840
2018-11-01,649567
2018-12-01,649139
2019-01-01,649139
2019-02-01,649126
2019-03-01,649126
2019-04-01,648588
2019-05-01,644818
2019-06-01,644818
2019-07-01,644818
2019-08-01,644818
2019-09-01,644818
2019-10-01,641153
2019-11-01,634967
2019-12-01,634967
